country,year,ufive5
cub,2007,0.0
cub,2008,0.0
cub,2009,0.0
cub,2010,0.0
cub,2011,0.0
cub,2012,0.0
cub,2013,0.0
cub,2014,0.0
cub,2015,0.0
cub,2016,0.0
cub,2017,0.0
cyp,2000,0.0
cyp,2001,0.0
cyp,2002,0.0
cyp,2003,0.0
cyp,2004,0.0
cyp,2005,0.0
cyp,2006,0.0
cyp,2007,0.0
cyp,2008,0.0
cyp,2009,0.0
cyp,2010,0.0
cyp,2011,0.0
cyp,2012,0.0
cyp,2013,0.0
cyp,2014,0.0
cyp,2015,0.0
cyp,2016,0.0
cyp,2017,0.0
cze,2000,0.0
cze,2001,0.0
cze,2002,0.0
cze,2003,0.0
cze,2004,0.0
cze,2005,0.0
cze,2006,0.0
cze,2007,0.0
cze,2008,0.0
cze,2009,0.0
cze,2010,0.0
cze,2011,0.0
cze,2012,0.0
cze,2013,0.0
cze,2014,0.0
cze,2015,0.0
cze,2016,0.0
cze,2017,0.0
deu,2000,0.0
deu,2001,0.0
deu,2002,0.0
deu,2003,0.0
deu,2004,0.0
deu,2005,0.0
deu,2006,0.0
deu,2007,0.0
deu,2008,0.0
deu,2009,0.0
deu,2010,0.0
deu,2011,0.0
deu,2012,0.0
deu,2013,0.0
deu,2014,0.0
deu,2015,0.0
deu,2016,0.0
deu,2017,0.0
dji,2000,43.12144470214844
dji,2001,39.16617965698242
dji,2002,34.88338088989258
dji,2003,30.727876663208008
dji,2004,26.34876251220703
dji,2005,22.330238342285156
dji,2006,18.901578903198242
dji,2007,16.649776458740234
dji,2008,15.084162712097168
dji,2009,13.927530288696289
dji,2010,12.823095321655273
dji,2011,11.882078170776367
dji,2012,11.00267505645752
dji,2013,10.143622398376465
dji,2014,9.271231651306152
dji,2015,8.492201805114746
dji,2016,7.692427635192871
dji,2017,7.542016506195068
dma,2000,0.0
dma,2001,0.0
dma,2002,0.0
dma,2003,0.0
dma,2004,0.0
dma,2005,0.0
dma,2006,0.0
dma,2007,0.0
dma,2008,0.0
dma,2009,0.0
dma,2010,0.0
dma,2011,0.0
dma,2012,0.0
dma,2013,0.0
dma,2014,0.0
dma,2015,0.0
dma,2016,0.0
dma,2017,0.0
dnk,2000,0.0
dnk,2001,0.0
dnk,2002,0.0
dnk,2003,0.0
dnk,2004,0.0
dnk,2005,0.0
dnk,2006,0.0
dnk,2007,0.0
dnk,2008,0.0
dnk,2009,0.0
dnk,2010,0.0
dnk,2011,0.0
dnk,2012,0.0
dnk,2013,0.0
dnk,2014,0.0
dnk,2015,0.0
dnk,2016,0.0
dnk,2017,0.0
dom,2000,4.0
dom,2001,1.0
dom,2002,1.0
dom,2003,4.000000476837158
dom,2004,2.999999761581421
dom,2005,4.000000476837158
dom,2006,4.0
dom,2007,3.0
dom,2008,2.000000238418579
dom,2009,1.0
dom,2010,3.0
dom,2011,1.999999761581421
dom,2012,1.0
dom,2013,1.0
dom,2014,1.0
dom,2015,1.0000001192092896
dom,2016,1.0000001192092896
dom,2017,1.0002416372299194
dza,2000,98.95635986328125
dza,2001,94.21558380126953
dza,2002,90.13072204589844
dza,2003,86.48616790771484
dza,2004,82.6609878540039
dza,2005,80.46028900146484
dza,2006,78.51676177978516
dza,2007,77.14035034179688
dza,2008,72.68128967285156
dza,2009,66.02244567871094
dza,2010,56.25028991699219
dza,2011,49.86174392700195
dza,2012,46.282135009765625
dza,2013,45.125186920166016
dza,2014,43.15779495239258
dza,2015,41.3422737121582
dza,2016,39.37234878540039
dza,2017,37.882423400878906
ecu,2000,0.0
ecu,2001,0.0
ecu,2002,0.0
ecu,2003,0.0
ecu,2004,0.0
ecu,2005,0.0
ecu,2006,0.0
ecu,2007,0.0
ecu,2008,0.0
ecu,2009,0.0
ecu,2010,0.0
ecu,2011,0.0
ecu,2012,0.0
ecu,2013,1.0432348251342773
ecu,2014,0.0
ecu,2015,1.470470905303955
ecu,2016,1.4278289079666138
ecu,2017,0.9439335465431213
egy,2000,1061.2716064453125
egy,2001,1003.5087280273438
egy,2002,889.1781005859375
egy,2003,790.6947631835938
egy,2004,680.4010009765625
egy,2005,624.3519287109375
egy,2006,614.7727661132812
egy,2007,624.241943359375
egy,2008,612.3065185546875
egy,2009,600.761474609375
egy,2010,569.1672973632812
egy,2011,547.443359375
egy,2012,540.4024658203125
egy,2013,528.9173583984375
egy,2014,514.88330078125
egy,2015,496.23162841796875
egy,2016,475.28338623046875
egy,2017,453.6595153808594
eri,2000,38.77638244628906
eri,2001,32.05830383300781
eri,2002,29.801395416259766
eri,2003,28.0603084564209
eri,2004,26.593467712402344
eri,2005,25.19966697692871
eri,2006,23.665334701538086
eri,2007,22.319555282592773
eri,2008,20.57696533203125
eri,2009,18.609092712402344
eri,2010,16.490882873535156
eri,2011,15.011507034301758
eri,2012,13.829641342163086
eri,2013,13.046798706054688
eri,2014,12.367608070373535
eri,2015,11.742033958435059
eri,2016,11.091276168823242
eri,2017,10.904483795166016
esp,2000,0.0
esp,2001,0.0
esp,2002,0.0
esp,2003,0.0
esp,2004,0.0
esp,2005,0.0
esp,2006,0.0
esp,2007,0.0
esp,2008,0.0
esp,2009,0.0
esp,2010,0.0
esp,2011,0.0
esp,2012,0.0
esp,2013,0.0
esp,2014,0.0
esp,2015,0.0
esp,2016,0.0
esp,2017,0.0
est,2000,0.0
est,2001,0.0
est,2002,0.0
est,2003,0.0
est,2004,0.0
est,2005,0.0
est,2006,0.0
est,2007,0.0
est,2008,0.0
est,2009,0.0
est,2010,0.0
est,2011,0.0
est,2012,0.0
est,2013,0.0
est,2014,0.0
est,2015,0.0
est,2016,0.0
est,2017,0.0
eth,2000,13618.5810546875
eth,2001,12052.6572265625
eth,2002,10266.3642578125
eth,2003,8449.78515625
eth,2004,6772.4921875
eth,2005,5486.1435546875
eth,2006,4564.16845703125
eth,2007,3831.9453125
eth,2008,3211.99560546875
eth,2009,2707.91357421875
eth,2010,2492.595703125
eth,2011,2451.564208984375
eth,2012,2512.81396484375
eth,2013,2355.239501953125
eth,2014,2051.04541015625
eth,2015,1752.428466796875
eth,2016,1557.8673095703125
