country,year,nnd
dza,2003,13145.0
dza,2004,13295.9990234375
dza,2005,13559.0
dza,2006,13902.9990234375
dza,2007,14306.0
dza,2008,14687.0009765625
dza,2009,14988.0
dza,2010,15192.0009765625
dza,2011,15288.0
dza,2012,15301.0
dza,2013,15218.0
dza,2014,15016.0
dza,2015,14673.0
dza,2016,14219.0
dza,2017,13678.001953125
ecu,2000,4444.0
ecu,2001,4194.0
ecu,2002,3990.000244140625
ecu,2003,3816.000244140625
ecu,2004,3669.000244140625
ecu,2005,3544.999755859375
ecu,2006,3425.0
ecu,2007,3311.000244140625
ecu,2008,3197.0
ecu,2009,3088.000244140625
ecu,2010,2988.000244140625
ecu,2011,2897.0
ecu,2012,2816.0
ecu,2013,2743.000244140625
ecu,2014,2673.0
ecu,2015,2604.0
ecu,2016,2536.000244140625
ecu,2017,2464.0
egy,2000,39866.00390625
egy,2001,39096.00390625
egy,2002,38408.0
egy,2003,37834.0
egy,2004,37373.0
egy,2005,36684.99609375
egy,2006,36075.99609375
egy,2007,35674.0
egy,2008,35476.00390625
egy,2009,35380.00390625
egy,2010,35291.99609375
egy,2011,35080.99609375
egy,2012,34629.0
egy,2013,33892.00390625
egy,2014,32992.0
egy,2015,31796.0
egy,2016,30453.00390625
egy,2017,29056.791015625
eri,2000,3144.000244140625
eri,2001,3178.0
eri,2002,3226.0
eri,2003,3279.999755859375
eri,2004,3329.0
eri,2005,3359.0
eri,2006,3375.00048828125
eri,2007,3372.000244140625
eri,2008,3349.0
eri,2009,3310.000244140625
eri,2010,3259.0
eri,2011,3210.000244140625
eri,2012,3154.0
eri,2013,3094.999755859375
eri,2014,3030.00048828125
eri,2015,2965.999755859375
eri,2016,2910.000244140625
eri,2017,2862.0
esp,2000,1124.0
esp,2001,1151.0
esp,2002,1165.0001220703125
esp,2003,1161.0
esp,2004,1148.9998779296875
esp,2005,1134.9998779296875
esp,2006,1113.0001220703125
esp,2007,1078.0001220703125
esp,2008,1039.0
esp,2009,1008.0
esp,2010,987.0000610351562
esp,2011,963.0000610351562
esp,2012,929.0
esp,2013,886.0
esp,2014,837.0
esp,2015,786.0
esp,2016,739.0
esp,2017,699.0000610351562
est,2000,68.0
est,2001,63.0
est,2002,59.0
est,2003,55.0
est,2004,52.000003814697266
est,2005,49.0
est,2006,45.0
est,2007,42.0
est,2008,38.0
est,2009,34.999996185302734
est,2010,31.0
est,2011,28.0
est,2012,26.000001907348633
est,2013,24.0
est,2014,22.000001907348633
est,2015,20.0
est,2016,19.0
est,2017,16.999998092651367
eth,2000,141752.0
eth,2001,140051.0
eth,2002,137850.015625
eth,2003,135255.0
eth,2004,132122.0
eth,2005,128909.0
eth,2006,125638.0078125
eth,2007,122174.0
eth,2008,119043.984375
eth,2009,116010.0078125
eth,2010,113052.0078125
eth,2011,110199.984375
eth,2012,107463.0
eth,2013,104750.0078125
eth,2014,102094.0
eth,2015,99519.0078125
eth,2016,97138.0
eth,2017,94977.9921875
fin,2000,157.0
fin,2001,157.0
fin,2002,154.99998474121094
fin,2003,153.99998474121094
fin,2004,157.0
fin,2005,160.0
fin,2006,161.99996948242188
fin,2007,160.99998474121094
fin,2008,156.0
fin,2009,147.00001525878906
fin,2010,135.0
fin,2011,121.0
fin,2012,107.00000762939453
fin,2013,99.0
fin,2014,98.99999237060547
fin,2015,103.99999237060547
fin,2016,107.99999237060547
fin,2017,110.0
fji,2000,180.0
fji,2001,181.0
fji,2002,185.0
fji,2003,193.00001525878906
fji,2004,200.99998474121094
fji,2005,207.00001525878906
