global,year,age_group,cause,fraction_of_deaths
global,2000,post,16,0.05613792687654495
global,2001,post,16,0.05672213062644005
global,2002,post,16,0.057285524904727936
global,2003,post,16,0.05731876567006111
global,2004,post,16,0.05953790247440338
global,2005,post,16,0.06011581793427467
global,2006,post,16,0.06286527216434479
global,2007,post,16,0.06535981595516205
global,2008,post,16,0.0662725642323494
global,2009,post,16,0.06871123611927032
global,2010,post,16,0.07024512439966202
global,2011,post,16,0.07192520052194595
global,2012,post,16,0.07511985301971436
global,2013,post,16,0.07664894312620163
global,2014,post,16,0.07878877967596054
global,2015,post,16,0.08053964376449585
global,2016,post,16,0.08184809982776642
global,2017,post,16,0.08406107872724533
global,2000,post,17,0.06471441686153412
global,2001,post,17,0.06507179886102676
global,2002,post,17,0.06562798470258713
global,2003,post,17,0.06533321738243103
global,2004,post,17,0.07394659519195557
global,2005,post,17,0.0689912885427475
global,2006,post,17,0.07289450615644455
global,2007,post,17,0.07617081701755524
global,2008,post,17,0.08272121846675873
global,2009,post,17,0.08076533675193787
global,2010,post,17,0.09216561913490295
global,2011,post,17,0.0860077440738678
global,2012,post,17,0.09006192535161972
global,2013,post,17,0.09330429881811142
global,2014,post,17,0.0970330461859703
global,2015,post,17,0.10096430778503418
global,2016,post,17,0.10268017649650574
global,2017,post,17,0.1055629625916481
global,2000,u5,2,0.023315468803048134
global,2001,u5,2,0.02445700392127037
global,2002,u5,2,0.02543213590979576
global,2003,u5,2,0.025931142270565033
global,2004,u5,2,0.026600642129778862
global,2005,u5,2,0.02648737095296383
global,2006,u5,2,0.026468221098184586
global,2007,u5,2,0.025594428181648254
global,2008,u5,2,0.023823244497179985
global,2009,u5,2,0.022006340324878693
global,2010,u5,2,0.02080640010535717
global,2011,u5,2,0.018792271614074707
global,2012,u5,2,0.017166968435049057
global,2013,u5,2,0.015588047914206982
global,2014,u5,2,0.014864672906696796
global,2015,u5,2,0.014166498556733131
global,2016,u5,2,0.0135410251095891
global,2017,u5,2,0.013922067359089851
global,2000,u5,3,0.12019914388656616
global,2001,u5,3,0.1162412092089653
global,2002,u5,3,0.11296852678060532
global,2003,u5,3,0.10863357782363892
global,2004,u5,3,0.10668985545635223
global,2005,u5,3,0.10329687595367432
global,2006,u5,3,0.10241742432117462
global,2007,u5,3,0.10079919546842575
global,2008,u5,3,0.09763423353433609
global,2009,u5,3,0.09606742113828659
global,2010,u5,3,0.09400153905153275
global,2011,u5,3,0.09186936169862747
global,2012,u5,3,0.09029097855091095
global,2013,u5,3,0.08882740139961243
global,2014,u5,3,0.08710786700248718
global,2015,u5,3,0.08531933277845383
global,2016,u5,3,0.08341430872678757
global,2017,u5,3,0.08138201385736465
global,2000,u5,5,0.017279047518968582
global,2001,u5,5,0.015834612771868706
global,2002,u5,5,0.014461949467658997
global,2003,u5,5,0.01301587000489235
global,2004,u5,5,0.01185383927077055
global,2005,u5,5,0.01075749285519123
global,2006,u5,5,0.010045303031802177
global,2007,u5,5,0.009407096542418003
global,2008,u5,5,0.008670135401189327
global,2009,u5,5,0.00810852088034153
global,2010,u5,5,0.007705589756369591
global,2011,u5,5,0.007433588150888681
global,2012,u5,5,0.007223433814942837
global,2013,u5,5,0.006811000872403383
global,2014,u5,5,0.006348537281155586
global,2015,u5,5,0.005892721004784107
global,2016,u5,5,0.005637284368276596
global,2017,u5,5,0.005774810444563627
global,2000,u5,6,0.04837541654706001
