country,year,live_births
civ,2010,782835
civ,2011,797230
civ,2012,812189
civ,2013,827451
civ,2014,842864
civ,2015,858303
civ,2016,873700
civ,2017,889062
cmr,2000,632665
cmr,2001,647436
cmr,2002,662955
cmr,2003,678951
cmr,2004,695193
cmr,2005,711440
cmr,2006,727477
cmr,2007,743141
cmr,2008,758270
cmr,2009,772704
cmr,2010,786280
cmr,2011,798902
cmr,2012,810663
cmr,2013,821703
cmr,2014,832133
cmr,2015,842102
cmr,2016,851775
cmr,2017,861330
cod,2000,2180318
cod,2001,2240694
cod,2002,2303877
cod,2003,2370228
cod,2004,2439805
cod,2005,2512610
cod,2006,2588433
cod,2007,2666416
cod,2008,2745560
cod,2009,2825027
cod,2010,2903817
cod,2011,2981038
cod,2012,3056294
cod,2013,3129360
cod,2014,3200088
cod,2015,3268561
cod,2016,3335137
cod,2017,3400588
cog,2000,126845
cog,2001,130793
cog,2002,134839
cog,2003,138974
cog,2004,143156
cog,2005,147336
cog,2006,151458
cog,2007,155459
cog,2008,159269
cog,2009,162829
cog,2010,166042
cog,2011,168822
cog,2012,171179
cog,2013,173173
cog,2014,174883
cog,2015,176429
cog,2016,177951
cog,2017,179595
cok,2000,419
cok,2001,403
cok,2002,388
cok,2003,376
cok,2004,366
cok,2005,358
cok,2006,351
cok,2007,345
cok,2008,338
cok,2009,331
cok,2010,324
cok,2011,318
cok,2012,311
cok,2013,306
cok,2014,302
cok,2015,298
cok,2016,295
cok,2017,293
col,2000,847868
col,2001,845025
col,2002,841817
col,2003,837605
col,2004,832169
col,2005,825468
col,2006,817686
col,2007,809311
col,2008,800772
col,2009,792271
col,2010,783985
col,2011,776016
col,2012,768316
col,2013,760830
col,2014,753548
col,2015,746404
col,2016,739289
col,2017,732104
com,2000,20346
com,2001,20706
com,2002,21080
com,2003,21466
com,2004,21860
com,2005,22263
com,2006,22676
com,2007,23096
com,2008,23518
com,2009,23936
com,2010,24340
com,2011,24720
com,2012,25071
com,2013,25390
com,2014,25674
com,2015,25925
com,2016,26148
com,2017,26350
cpv,2000,12685
cpv,2001,12554
cpv,2002,12429
cpv,2003,12311
cpv,2004,12199
cpv,2005,12090
cpv,2006,11981
cpv,2007,11869
cpv,2008,11753
cpv,2009,11637
cpv,2010,11527
cpv,2011,11433
cpv,2012,11362
cpv,2013,11315
cpv,2014,11293
cpv,2015,11289
cpv,2016,11296
cpv,2017,11303
cri,2000,76236
cri,2001,75016
cri,2002,74006
cri,2003,73265
cri,2004,72808
cri,2005,72597
cri,2006,72546
cri,2007,72530
cri,2008,72450
cri,2009,72263
cri,2010,71959
cri,2011,71560
cri,2012,71121
cri,2013,70685
cri,2014,70259
cri,2015,69838
cri,2016,69408
cri,2017,68949
cub,2000,144667
cub,2001,141208
cub,2002,137755
cub,2003,134451
cub,2004,131417
cub,2005,128843
cub,2006,126914
cub,2007,125671
cub,2008,125074
cub,2009,125041
cub,2010,125392
cub,2011,125891
cub,2012,126293
cub,2013,126406
cub,2014,126138
cub,2015,125471
cub,2016,124477
cub,2017,123323
cyp,2000,12449
