global,year,age_group,cause,death_rate
global,2005,post,13,3.5399608612060547
global,2006,post,13,3.42846417427063
global,2007,post,13,3.3256092071533203
global,2008,post,13,3.2329013347625732
global,2009,post,13,3.172452211380005
global,2010,post,13,3.1210427284240723
global,2011,post,13,3.0598974227905273
global,2012,post,13,2.981858015060425
global,2013,post,13,2.9702906608581543
global,2014,post,13,2.960787773132324
global,2015,post,13,2.9300270080566406
global,2016,post,13,2.890119791030884
global,2017,post,13,2.8080785274505615
global,2000,post,15,1.8589383363723755
global,2001,post,15,1.8300436735153198
global,2002,post,15,1.7941266298294067
global,2003,post,15,1.740448236465454
global,2004,post,15,1.7082881927490234
global,2005,post,15,1.6672712564468384
global,2006,post,15,1.6461831331253052
global,2007,post,15,1.6207973957061768
global,2008,post,15,1.58649742603302
global,2009,post,15,1.561678171157837
global,2010,post,15,1.5539969205856323
global,2011,post,15,1.5277992486953735
global,2012,post,15,1.4895493984222412
global,2013,post,15,1.4667388200759888
global,2014,post,15,1.4497549533843994
global,2015,post,15,1.434627890586853
global,2016,post,15,1.4035108089447021
global,2017,post,15,1.358060359954834
global,2000,post,16,2.5784289836883545
global,2001,post,16,2.514235019683838
global,2002,post,16,2.432976484298706
global,2003,post,16,2.3588480949401855
global,2004,post,16,2.294428825378418
global,2005,post,16,2.223695993423462
global,2006,post,16,2.1672050952911377
global,2007,post,16,2.1125364303588867
global,2008,post,16,2.0614960193634033
global,2009,post,16,2.030244827270508
global,2010,post,16,1.9852100610733032
global,2011,post,16,1.9509131908416748
global,2012,post,16,1.9140915870666504
global,2013,post,16,1.8768696784973145
global,2014,post,16,1.8442091941833496
global,2015,post,16,1.811389446258545
global,2016,post,16,1.7745734453201294
global,2017,post,16,1.7254149913787842
global,2000,post,17,2.972349166870117
global,2001,post,17,2.884338140487671
global,2002,post,17,2.787289619445801
global,2003,post,17,2.6886682510375977
global,2004,post,17,2.849700689315796
global,2005,post,17,2.5520012378692627
global,2006,post,17,2.512950897216797
global,2007,post,17,2.461965799331665
global,2008,post,17,2.573153257369995
global,2009,post,17,2.386413097381592
global,2010,post,17,2.6047091484069824
global,2011,post,17,2.3328909873962402
global,2012,post,17,2.294823169708252
global,2013,post,17,2.2847023010253906
global,2014,post,17,2.2712528705596924
global,2015,post,17,2.2707533836364746
global,2016,post,17,2.2262399196624756
global,2017,post,17,2.1667566299438477
global,2000,u5,2,1.7853662967681885
global,2001,u5,2,1.81094491481781
global,2002,u5,2,1.8118256330490112
global,2003,u5,2,1.788344144821167
global,2004,u5,2,1.739922285079956
global,2005,u5,2,1.6673377752304077
global,2006,u5,2,1.5770176649093628
global,2007,u5,2,1.449393391609192
global,2008,u5,2,1.3020014762878418
global,2009,u5,2,1.151964545249939
global,2010,u5,2,1.0476272106170654
global,2011,u5,2,0.9118064045906067
global,2012,u5,2,0.7935857772827148
global,2013,u5,2,0.6955344676971436
global,2014,u5,2,0.6386290788650513
global,2015,u5,2,0.5879673957824707
global,2016,u5,2,0.544256865978241
global,2017,u5,2,0.5368231534957886
global,2000,u5,3,9.204168319702148
global,2001,u5,3,8.60720443725586
global,2002,u5,3,8.048056602478027
global,2003,u5,3,7.491927146911621
global,2004,u5,3,6.978480815887451
global,2005,u5,3,6.502373218536377
global,2006,u5,3,6.102189064025879
global,2007,u5,3,5.708183765411377
global,2008,u5,3,5.33596134185791
global,2009,u5,3,5.028835296630859
global,2010,u5,3,4.733090400695801
global,2011,u5,3,4.4575276374816895
global,2012,u5,3,4.173924922943115
global,2013,u5,3,3.963454484939575
global,2014,u5,3,3.7424042224884033
global,2015,u5,3,3.541099786758423
global,2016,u5,3,3.3526864051818848
global,2017,u5,3,3.13802170753479
global,2000,u5,5,1.3231314420700073
global,2001,u5,5,1.1724907159805298
global,2002,u5,5,1.0302921533584595
global,2003,u5,5,0.8976409435272217
global,2004,u5,5,0.7753481864929199
global,2005,u5,5,0.6771669983863831
global,2006,u5,5,0.5985147356987
global,2007,u5,5,0.5327168703079224
global,2008,u5,5,0.47384512424468994
global,2009,u5,5,0.42445623874664307
global,2010,u5,5,0.3879857063293457
global,2011,u5,5,0.36067983508110046
global,2012,u5,5,0.3339211940765381
global,2013,u5,5,0.30390501022338867
global,2014,u5,5,0.27275142073631287
global,2015,u5,5,0.24457192420959473
global,2016,u5,5,0.22658038139343262
global,2017,u5,5,0.22267180681228638
global,2000,u5,6,3.704314708709717
global,2001,u5,6,3.6022841930389404
global,2002,u5,6,3.31571364402771
global,2003,u5,6,3.602132797241211
global,2004,u5,6,2.335827350616455
global,2005,u5,6,2.6189687252044678
global,2006,u5,6,1.6366592645645142
global,2007,u5,6,1.0298117399215698
global,2008,u5,6,1.162361741065979
global,2009,u5,6,1.1859147548675537
