country,year,pnd
cog,2011,6101.931640625
cog,2012,5879.833984375
cog,2013,5667.27783203125
cog,2014,5422.15283203125
cog,2015,6254.5390625
cog,2016,5421.3427734375
cog,2017,5368.43603515625
cok,2000,3.000000238418579
cok,2001,4.0
cok,2002,2.999999761581421
cok,2003,3.0
cok,2004,2.0
cok,2005,3.0
cok,2006,2.0
cok,2007,2.0
cok,2008,2.0
cok,2009,2.0
cok,2010,1.0
cok,2011,1.0
cok,2012,2.0
cok,2013,1.9999998807907104
cok,2014,2.0
cok,2015,1.0
cok,2016,1.0
cok,2017,1.0
col,2000,9824.0009765625
col,2001,9462.0
col,2002,9114.0
col,2003,8799.0
col,2004,8494.0
col,2005,8184.00048828125
col,2006,7886.0
col,2007,7588.0
col,2008,7292.99951171875
col,2009,6994.0
col,2010,6704.0
col,2011,6435.0
col,2012,6155.00048828125
col,2013,5888.99951171875
col,2014,5654.99951171875
col,2015,5405.00048828125
col,2016,5190.0
col,2017,4991.00048828125
com,2000,1167.0
com,2001,1180.0
com,2002,1201.0
com,2003,1214.0
com,2004,1221.0
com,2005,1213.0001220703125
com,2006,1202.0
com,2007,1183.0001220703125
com,2008,1159.9998779296875
com,2009,1145.0
com,2010,1122.0
com,2011,1093.0001220703125
com,2012,1076.0
com,2013,1052.0
com,2014,1024.0001220703125
com,2015,1002.0
com,2016,979.0000610351562
com,2017,952.9999389648438
cpv,2000,231.52267456054688
cpv,2001,205.08694458007812
cpv,2002,187.48394775390625
cpv,2003,175.37071228027344
cpv,2004,168.16421508789062
cpv,2005,163.16688537597656
cpv,2006,142.24301147460938
cpv,2007,138.5979766845703
cpv,2008,134.63331604003906
cpv,2009,129.42703247070312
cpv,2010,119.19793701171875
cpv,2011,113.47599792480469
cpv,2012,106.68710327148438
cpv,2013,100.84937286376953
cpv,2014,95.0
cpv,2015,88.99999237060547
cpv,2016,84.99999237060547
cpv,2017,80.0
cri,2000,413.0
cri,2001,371.0000305175781
cri,2002,339.0
cri,2003,310.0
cri,2004,283.0
cri,2005,262.0
cri,2006,254.0
cri,2007,253.0
cri,2008,254.00001525878906
cri,2009,248.99998474121094
cri,2010,243.0
cri,2011,240.0
cri,2012,238.00001525878906
cri,2013,235.0
cri,2014,232.0
cri,2015,228.0
cri,2016,223.0
cri,2017,216.0
cub,2000,594.0
cub,2001,553.0
cub,2002,544.0
cub,2003,545.9999389648438
cub,2004,545.9999389648438
cub,2005,532.0
cub,2006,508.0
cub,2007,477.0000305175781
cub,2008,447.0
cub,2009,424.0
cub,2010,407.0
cub,2011,401.0
cub,2012,402.0
cub,2013,406.0
cub,2014,408.0
cub,2015,407.0
cub,2016,402.0000305175781
cub,2017,392.9999694824219
cyp,2000,45.0
cyp,2001,41.000003814697266
cyp,2002,38.0
cyp,2003,35.0
cyp,2004,31.999998092651367
cyp,2005,30.0
cyp,2006,27.999998092651367
cyp,2007,25.000003814697266
cyp,2008,22.999998092651367
cyp,2009,22.0
cyp,2010,21.0
cyp,2011,20.0
cyp,2012,17.999998092651367
cyp,2013,17.0
cyp,2014,17.000001907348633
cyp,2015,15.0
cyp,2016,14.0
cyp,2017,14.0
cze,2000,250.0
cze,2001,235.00001525878906
cze,2002,226.99998474121094
cze,2003,220.0
cze,2004,214.0
cze,2005,207.0
cze,2006,203.0
cze,2007,201.0
cze,2008,199.0
cze,2009,195.0
cze,2010,189.0
cze,2011,183.99998474121094
cze,2012,178.0
cze,2013,175.0
cze,2014,172.0
cze,2015,171.0
cze,2016,171.99998474121094
cze,2017,172.0
deu,2000,1983.9998779296875
deu,2001,1872.0
deu,2002,1776.0
deu,2003,1689.0
deu,2004,1596.0
deu,2005,1500.9998779296875
deu,2006,1418.0
deu,2007,1366.0
deu,2008,1332.9998779296875
deu,2009,1303.0
deu,2010,1265.0001220703125
deu,2011,1224.0001220703125
deu,2012,1188.0
deu,2013,1156.9998779296875
deu,2014,1131.0
deu,2015,1111.0
deu,2016,1092.0
deu,2017,1079.0
dji,2000,1301.1402587890625
dji,2001,1207.0904541015625
dji,2002,1150.5357666015625
dji,2003,1099.9873046875
dji,2004,1120.6134033203125
dji,2005,1219.39501953125
dji,2006,993.18505859375
dji,2007,944.6135864257812
dji,2008,981.4271850585938
dji,2009,873.899658203125
dji,2010,823.189453125
dji,2011,808.5108032226562
dji,2012,820.8897705078125
dji,2013,736.413818359375
dji,2014,699.0582885742188
dji,2015,697.9265747070312
dji,2016,641.3643188476562
dji,2017,616.6992797851562
dma,2000,5.0
dma,2001,5.0
dma,2002,3.999999761581421
dma,2003,4.0
dma,2004,4.0
dma,2005,4.0
dma,2006,3.000000238418579
dma,2007,3.0
dma,2008,2.999999761581421
dma,2009,4.000000476837158
dma,2010,4.0
dma,2011,4.0
dma,2012,4.999999523162842
dma,2013,5.0
dma,2014,6.000000476837158
dma,2015,5.999999523162842
dma,2016,7.0
dma,2017,8.0
dnk,2000,134.0
dnk,2001,133.0
dnk,2002,130.0
dnk,2003,127.0
dnk,2004,121.00000762939453
dnk,2005,114.0
dnk,2006,108.0
dnk,2007,100.99999237060547
dnk,2008,94.0
dnk,2009,88.0
dnk,2010,81.0
dnk,2011,75.0
dnk,2012,71.0
dnk,2013,68.0
dnk,2014,66.99999237060547
dnk,2015,66.0
dnk,2016,67.0
dnk,2017,67.0
dom,2000,3692.000244140625
dom,2001,3498.999755859375
dom,2002,3333.000244140625
dom,2003,3182.999755859375
dom,2004,3052.000244140625
dom,2005,2933.000244140625
dom,2006,2830.0
dom,2007,2733.0
dom,2008,2645.0
dom,2009,2571.000244140625
dom,2010,2501.999755859375
dom,2011,2450.0
dom,2012,2397.999755859375
dom,2013,2350.999755859375
dom,2014,2301.0
dom,2015,2238.0
dom,2016,2177.000244140625
dom,2017,2110.0
dza,2000,11920.9892578125
dza,2001,11492.37109375
dza,2002,11048.1572265625
