region,year,age_group,cause,deaths
6_wpr,2000,u5,2,1481.3486950397491
1_afr,2000,u5,2,212609.1837501526
2_amr,2000,u5,2,3062.051791727543
3_sear,2000,u5,2,14441.820000171661
4_eur,2000,u5,2,565.2324512898922
5_emr,2001,u5,2,653.6299998760223
2_amr,2001,u5,2,3015.946952998638
3_sear,2001,u5,2,13840.800000190735
6_wpr,2001,u5,2,1609.032170534134
1_afr,2001,u5,2,217249.2306251526
4_eur,2001,u5,2,633.4117552042007
5_emr,2002,u5,2,703.8700001239777
3_sear,2002,u5,2,13069.789999961853
4_eur,2002,u5,2,688.9779046177864
1_afr,2002,u5,2,219253.40984392166
6_wpr,2002,u5,2,1707.582851409912
2_amr,2002,u5,2,2931.6626366376877
6_wpr,2003,u5,2,1777.3561811447144
4_eur,2003,u5,2,737.3553418815136
3_sear,2003,u5,2,12148.769999980927
1_afr,2003,u5,2,218488.68499994278
5_emr,2003,u5,2,742.5066859722137
2_amr,2003,u5,2,2822.2292641699314
4_eur,2004,u5,2,704.6515474021435
5_emr,2004,u5,2,774.7800002098083
6_wpr,2004,u5,2,1811.2058899402618
1_afr,2004,u5,2,214719.8392186165
3_sear,2004,u5,2,11189.840000152588
2_amr,2004,u5,2,2662.4843410253525
4_eur,2005,u5,2,679.6402347385883
2_amr,2005,u5,2,2433.5264531672
6_wpr,2005,u5,2,1802.398222476244
5_emr,2005,u5,2,808.8800001144409
3_sear,2005,u5,2,10151.840000152588
1_afr,2005,u5,2,207872.20377361774
1_afr,2006,u5,2,198375.7928123474
2_amr,2006,u5,2,2262.0506675317883
5_emr,2006,u5,2,841.8700001239777
4_eur,2006,u5,2,629.2684654593468
3_sear,2006,u5,2,9261.840000152588
6_wpr,2006,u5,2,1743.4414450526237
5_emr,2007,u5,2,885.8600001335144
1_afr,2007,u5,2,183542.1521873474
6_wpr,2007,u5,2,1756.2824895381927
2_amr,2007,u5,2,1998.730311471969
3_sear,2007,u5,2,8387.840000152588
4_eur,2007,u5,2,639.8448355793953
5_emr,2008,u5,2,919.8800001144409
6_wpr,2008,u5,2,1547.7493388652802
3_sear,2008,u5,2,7400.840000152588
2_amr,2008,u5,2,1723.2642647884786
4_eur,2008,u5,2,512.8377363979816
1_afr,2008,u5,2,166201.85856723785
5_emr,2009,u5,2,942.9000000953674
1_afr,2009,u5,2,148150.03945302963
6_wpr,2009,u5,2,1227.304298877716
4_eur,2009,u5,2,395.1030606329441
2_amr,2009,u5,2,1453.0375496521592
3_sear,2009,u5,2,6521.849999904633
6_wpr,2010,u5,2,914.9587730169296
4_eur,2010,u5,2,335.20017153024673
1_afr,2010,u5,2,135480.00042366982
3_sear,2010,u5,2,6054.860000133514
2_amr,2010,u5,2,1335.0337972342968
5_emr,2010,u5,2,934.920000076294
1_afr,2011,u5,2,118056.8714454174
4_eur,2011,u5,2,333.20938462018967
5_emr,2011,u5,2,974.920000076294
3_sear,2011,u5,2,5452.850000143051
2_amr,2011,u5,2,1189.546063542366
6_wpr,2011,u5,2,774.2536512613297
