country,year,rpost17
chl,2003,0.6797544956207275
chl,2004,0.5326297283172607
chl,2005,0.5737189054489136
chl,2006,0.5965483784675598
chl,2007,0.4679563343524933
chl,2008,0.5904728770256042
chl,2009,0.5576186180114746
chl,2010,0.5570743083953857
chl,2011,0.4235972464084625
chl,2012,0.48413363099098206
chl,2013,0.5074245929718018
chl,2014,0.4510672986507416
chl,2015,0.398894339799881
chl,2016,0.3818768560886383
chl,2017,0.3709927797317505
chn,2000,4.102723598480225
chn,2001,3.722196340560913
chn,2002,3.3057262897491455
chn,2003,2.9659433364868164
chn,2004,2.66808819770813
chn,2005,2.5127553939819336
chn,2006,2.381638765335083
chn,2007,2.2219972610473633
chn,2008,2.1072282791137695
chn,2009,1.9537990093231201
chn,2010,1.8203730583190918
chn,2011,1.7091485261917114
chn,2012,1.6272791624069214
chn,2013,1.511994481086731
chn,2014,1.4203243255615234
chn,2015,1.335904598236084
chn,2016,1.2581559419631958
chn,2017,1.188599705696106
civ,2000,2.605921506881714
civ,2001,2.459305763244629
civ,2002,2.459960699081421
civ,2003,2.66493558883667
civ,2004,2.9932706356048584
civ,2005,3.3999438285827637
civ,2006,3.6584413051605225
civ,2007,3.864924907684326
civ,2008,3.8243865966796875
civ,2009,3.9577040672302246
civ,2010,4.08862829208374
civ,2011,4.2920942306518555
civ,2012,4.426930904388428
civ,2013,4.6630659103393555
civ,2014,4.749947547912598
civ,2015,5.221059322357178
civ,2016,5.179070472717285
civ,2017,5.170274257659912
cmr,2000,5.0443830490112305
cmr,2001,4.683768272399902
cmr,2002,4.464021682739258
cmr,2003,4.157623291015625
cmr,2004,3.9400649070739746
cmr,2005,3.891843557357788
cmr,2006,4.033055305480957
cmr,2007,4.227181911468506
cmr,2008,4.562024116516113
cmr,2009,4.982715606689453
cmr,2010,5.172972679138184
cmr,2011,5.306461811065674
cmr,2012,5.501430034637451
cmr,2013,5.387052059173584
cmr,2014,5.330342769622803
cmr,2015,5.259091854095459
cmr,2016,5.1771559715271
cmr,2017,5.107780456542969
cod,2000,3.437967538833618
cod,2001,3.2241780757904053
cod,2002,3.0534517765045166
cod,2003,2.85434889793396
cod,2004,2.727346420288086
cod,2005,2.553499698638916
cod,2006,2.622880697250366
cod,2007,2.720792531967163
cod,2008,3.0154001712799072
cod,2009,3.4766337871551514
cod,2010,3.813281774520874
cod,2011,4.040933132171631
cod,2012,4.196324348449707
cod,2013,4.304903984069824
cod,2014,4.3783159255981445
cod,2015,4.355709075927734
cod,2016,4.303050518035889
cod,2017,4.198912143707275
cog,2000,3.643150568008423
cog,2001,3.584900379180908
cog,2002,3.5019683837890625
cog,2003,3.418546676635742
cog,2004,3.337481737136841
cog,2005,3.2598984241485596
cog,2006,3.165699005126953
cog,2007,3.0747087001800537
cog,2008,3.015735626220703
cog,2009,2.976045846939087
cog,2010,2.919487953186035
cog,2011,2.840146780014038
cog,2012,2.7987937927246094
cog,2013,2.905548572540283
cog,2014,2.838545799255371
cog,2015,2.734818935394287
cog,2016,2.570556879043579
cog,2017,2.406275987625122
cok,2000,0.6808255314826965
cok,2001,0.9721920490264893
cok,2002,0.7812301516532898
cok,2003,0.8270308375358582
cok,2004,0.5780371427536011
cok,2005,0.9015775918960571
cok,2006,0.6232065558433533
cok,2007,0.6409863233566284
cok,2008,0.6618419885635376
cok,2009,0.6089856028556824
cok,2010,0.307203471660614
cok,2011,0.31998416781425476
cok,2012,0.6582368612289429
cok,2013,0.6819746494293213
cok,2014,0.6956352591514587
cok,2015,0.3583270013332367
cok,2016,0.35829484462738037
cok,2017,0.3633301556110382
col,2000,1.5306800603866577
col,2001,1.563027024269104
col,2002,1.7219451665878296
col,2003,1.490405559539795
col,2004,1.4661333560943604
col,2005,1.4623591899871826
col,2006,1.4753222465515137
col,2007,1.4289758205413818
col,2008,1.3442461490631104
col,2009,1.2525657415390015
col,2010,1.1812182664871216
col,2011,1.1454792022705078
col,2012,1.0183013677597046
col,2013,0.9176753163337708
col,2014,0.9603529572486877
col,2015,0.7418766021728516
col,2016,0.8169331550598145
col,2017,0.7933196425437927
com,2000,4.575692653656006
com,2001,4.577468395233154
com,2002,4.595757484436035
com,2003,4.5889201164245605
com,2004,4.568809509277344
com,2005,4.511500358581543
com,2006,4.443865776062012
com,2007,4.376922607421875
com,2008,4.340277194976807
com,2009,4.389866352081299
com,2010,4.416080951690674
com,2011,4.433535099029541
com,2012,4.294454097747803
com,2013,4.203098297119141
com,2014,4.311917304992676
com,2015,4.249897003173828
com,2016,4.177590847015381
com,2017,4.089398384094238
cpv,2000,0.8451656699180603
cpv,2001,0.7920626401901245
cpv,2002,0.760072648525238
cpv,2003,0.7538584470748901
cpv,2004,0.7778945565223694
cpv,2005,0.8217980861663818
cpv,2006,0.8797114491462708
cpv,2007,0.9422048330307007
cpv,2008,0.994290828704834
cpv,2009,1.0044732093811035
cpv,2010,1.0147432088851929
cpv,2011,0.9089277386665344
cpv,2012,0.892892599105835
cpv,2013,0.8841631412506104
cpv,2014,0.8681892156600952
cpv,2015,0.823539674282074
cpv,2016,0.798248291015625
cpv,2017,0.7657603621482849
cri,2000,0.5245811343193054
cri,2001,0.6900402307510376
cri,2002,0.6191909313201904
cri,2003,0.7160308957099915
cri,2004,0.5901138782501221
cri,2005,0.5030921697616577
cri,2006,0.2985613942146301
cri,2007,0.4776032269001007
cri,2008,0.40276777744293213
cri,2009,0.37241750955581665
cri,2010,0.39753401279449463
cri,2011,0.38848069310188293
cri,2012,0.31124699115753174
cri,2013,0.33399200439453125
cri,2014,0.48003271222114563
cri,2015,0.36874017119407654
cri,2016,0.3628880977630615
cri,2017,0.35383695363998413
cub,2000,0.6459119319915771
cub,2001,0.6691973209381104
cub,2002,0.7344334721565247
cub,2003,0.7332858443260193
cub,2004,0.661632776260376
cub,2005,0.5646529793739319
cub,2006,0.6546411514282227
cub,2007,0.5451391339302063
cub,2008,0.567037045955658
cub,2009,0.43460893630981445
cub,2010,0.41083863377571106
cub,2011,0.35225003957748413
cub,2012,0.4761461019515991
cub,2013,0.5070339441299438
cub,2014,0.41719308495521545
cub,2015,0.43090492486953735
cub,2016,0.4238043427467346
cub,2017,0.4175169765949249
cyp,2000,0.40229567885398865
cyp,2001,0.36917904019355774
cyp,2002,0.3387261927127838
cyp,2003,0.3084484040737152
cyp,2004,0.27888259291648865
cyp,2005,0.257591187953949
cyp,2006,0.2359504997730255
cyp,2007,0.20514705777168274
cyp,2008,0.1849600076675415
