region,year,age_group,cause,death_rate
3_sear,2009,neo,5,0.4931468665599823
6_wpr,2010,neo,5,0.034809306263923645
4_eur,2010,neo,5,0.011821838095784187
1_afr,2010,neo,5,0.5935294032096863
3_sear,2010,neo,5,0.422599196434021
2_amr,2010,neo,5,0.01714370772242546
5_emr,2010,neo,5,0.9871013164520264
1_afr,2011,neo,5,0.5701167583465576
4_eur,2011,neo,5,0.010547502897679806
5_emr,2011,neo,5,0.9551595449447632
3_sear,2011,neo,5,0.3583316206932068
2_amr,2011,neo,5,0.01471706386655569
6_wpr,2011,neo,5,0.02586088888347149
2_amr,2012,neo,5,0.013339035212993622
6_wpr,2012,neo,5,0.02154471166431904
5_emr,2012,neo,5,0.9017136096954346
3_sear,2012,neo,5,0.3005542755126953
1_afr,2012,neo,5,0.5477317571640015
4_eur,2012,neo,5,0.009410478174686432
1_afr,2013,neo,5,0.5138600468635559
5_emr,2013,neo,5,0.8281248807907104
2_amr,2013,neo,5,0.012625048868358135
4_eur,2013,neo,5,0.00837414525449276
3_sear,2013,neo,5,0.24902641773223877
6_wpr,2013,neo,5,0.019295131787657738
2_amr,2014,neo,5,0.011494736187160015
5_emr,2014,neo,5,0.7510893940925598
3_sear,2014,neo,5,0.20440860092639923
4_eur,2014,neo,5,0.00747019425034523
1_afr,2014,neo,5,0.4701535105705261
6_wpr,2014,neo,5,0.018043097108602524
2_amr,2015,neo,5,0.01086361799389124
4_eur,2015,neo,5,0.0067041232250630856
6_wpr,2015,neo,5,0.01666700281202793
1_afr,2015,neo,5,0.4287991225719452
5_emr,2015,neo,5,0.6788329482078552
3_sear,2015,neo,5,0.1676417887210846
2_amr,2016,neo,5,0.010211518034338951
1_afr,2016,neo,5,0.3942693769931793
3_sear,2016,neo,5,0.15962199866771698
5_emr,2016,neo,5,0.6150202751159668
6_wpr,2016,neo,5,0.015827806666493416
4_eur,2016,neo,5,0.006072675809264183
1_afr,2017,neo,5,0.3867662250995636
2_amr,2017,neo,5,0.009904779493808746
4_eur,2017,neo,5,0.0058097816072404385
3_sear,2017,neo,5,0.15352992713451385
5_emr,2017,neo,5,0.6045072674751282
6_wpr,2017,neo,5,0.015551438555121422
5_emr,2000,neo,6,0.0
6_wpr,2000,neo,6,0.0
1_afr,2000,neo,6,0.0
2_amr,2000,neo,6,0.0
3_sear,2000,neo,6,0.0
4_eur,2000,neo,6,0.0
5_emr,2001,neo,6,0.0
2_amr,2001,neo,6,0.0
3_sear,2001,neo,6,0.0
6_wpr,2001,neo,6,0.0
1_afr,2001,neo,6,0.0
4_eur,2001,neo,6,0.0
5_emr,2002,neo,6,0.0
3_sear,2002,neo,6,0.0
4_eur,2002,neo,6,0.0
1_afr,2002,neo,6,0.0
6_wpr,2002,neo,6,0.0
2_amr,2002,neo,6,0.0
6_wpr,2003,neo,6,0.0
4_eur,2003,neo,6,0.0
3_sear,2003,neo,6,0.0
1_afr,2003,neo,6,0.0
5_emr,2003,neo,6,0.0
2_amr,2003,neo,6,0.0
4_eur,2004,neo,6,0.0
5_emr,2004,neo,6,0.0
6_wpr,2004,neo,6,0.0
1_afr,2004,neo,6,0.0
3_sear,2004,neo,6,0.0
2_amr,2004,neo,6,0.0
4_eur,2005,neo,6,0.0
2_amr,2005,neo,6,0.0
6_wpr,2005,neo,6,0.0
5_emr,2005,neo,6,0.0
3_sear,2005,neo,6,0.0
1_afr,2005,neo,6,0.0
1_afr,2006,neo,6,0.0
2_amr,2006,neo,6,0.0
5_emr,2006,neo,6,0.0
4_eur,2006,neo,6,0.0
3_sear,2006,neo,6,0.0
6_wpr,2006,neo,6,0.0
5_emr,2007,neo,6,0.0
1_afr,2007,neo,6,0.0
6_wpr,2007,neo,6,0.0
2_amr,2007,neo,6,0.0
3_sear,2007,neo,6,0.0
